title,location,language_req
"Területi képviselő (Hajdú-Bihar/Szabolcs-Szatmár-Bereg)","Rugalmas munkavégzési hely - Hajdú-Bihar megye, Szabolcs-Szatmár-Bereg megye","Nem igényel nyelvtudást"
"Áruházi raktáros (Hajdúszoboszló)",Hajdúszoboszló,"Nem igényel nyelvtudást"
"Lottózói eladó (Debrecen)",Debrecen,"Nem igényel nyelvtudást"
"Junior termékfejlesztő mérnök","Rugalmas munkavégzési hely - Hajdú-Bihar megye","Angol középfok"
"Ügyvezetői asszisztens","Országosan bárhonnan végezhető","Nem igényel nyelvtudást"
"Gépi anyagmozgató","4030 Debrecen, Vámraktár utca 3.","Nem igényel nyelvtudást"
Ingatlanközvetítő,Debrecen,"Nem igényel nyelvtudást"
"Diákmunka - Bútorpakolás",Debrecen,"Magyar anyanyelvi szint"
Klímaszerelő-Hűtőgépszerelő,"Rugalmas munkavégzési hely - Hajdú-Bihar megye","Nem igényel nyelvtudást"
"Csomagolási koordinátor","4064 Nagyhegyes","Nem igényel nyelvtudást"
Projektmenedzser,"Debrecen, Vágóhíd u. 14.","Nem igényel nyelvtudást"
Mérlegkezelő-adminisztrátor,"4002 Debrecen, Vértesi út","Nem igényel nyelvtudást"
"Shop eladó és töltőállomás kezelő-Debrecen","4031 Debrecen, Balmazújvárosi út","Nem igényel nyelvtudást"
"Irodai asszisztens német nyelvtudással","4031 Debrecen","Német középfok"
"Export Sales Representative","Országosan bárhonnan végezhető","Angol felsőfok"
"Eladó a friss osztályon (Debrecen)",Debrecen,"Nem igényel nyelvtudást"
projektmenedzser,Debrecen,"Nem igényel nyelvtudást"
Gépkocsivezető,"Országosan bárhonnan végezhető, Németország","Nem igényel nyelvtudást"
"HR munkatárs (Debrecen)",Debrecen,"Nem igényel nyelvtudást"
"Általános csomagoló gépkezelő","4024 Debrecen, Csapó utca 28.","Nem igényel nyelvtudást"
"Sushi készítő - hidegkonyhai munkatárs","4024 Debrecen, Piac utca 18.","Nem igényel nyelvtudást"
"Területi Értékesítési Képviselő","Budapest, Győr, Veszprém, Pécs, Kecskemét, Szeged, Debrecen","Nem igényel nyelvtudást"
"Telefonos munkatárs","Budapest, Győr, Veszprém, Pécs, Kecskemét, Szeged, Debrecen","Nem igényel nyelvtudást"
"Tehergépjármű vezető","4064 Nagyhegyes","Nem igényel nyelvtudást"
"Host/Hostess munkatárs","Országosan bárhonnan végezhető","Nem igényel nyelvtudást"
"Pénzügyi tanácsadó munkatárs","Országosan bárhonnan végezhető","Nem igényel nyelvtudást"
"Sales koordinátor","Országosan bárhonnan végezhető","Angol felsőfok"
